511 200
91
41
472
446
112
10
164
209
104
197
335
418
479
2
47
242
99
434
483
201
423
355
399
333
280
67
445
54
277
452
485
176
48
411
177
479
420
407
75
489
479
476
204
345
185
317
142
350
306
500
207
116
410
60
257
245
25
257
6
278
96
46
352
210
265
427
76
72
131
26
369
64
57
128
65
308
511
15
146
13
413
127
195
311
186
350
431
19
162
436
363
324
481
203
342
301
185
316
181
382
408
105
445
172
299
217
378
298
130
399
310
98
14
380
475
199
218
394
284
87
385
